Data_source,Study_name,Year_clean,Total_PAH,Lat,Long,Common_name,Scientific_name,Species_standard,Taxonomic_group,Layman_group,Sample_motivation,Source_sampleID,SumPAHCount,Units_standardized,Basis_standardized,Sum_Method,Tissue_type_standardized_grouped,Detection_limit_standardized,Reporting_limit_standardized,Qualifier_code,Moisture_pct,Lab_ID,Notes,F_____,Study_name_clean,Study_name_cleaner,Region
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-011,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-012,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-013,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-014,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-015,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-016,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-017,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-018,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-019,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-020,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-021,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
ERM,ERM NorthSlope Subsistence Study 2014 2015,2014,0.000000000000000,70.478149999999999,-150.778480000000002,Arctic Cisco,Coregonus autumnalis,anadromous/freshwater fish,Chordata (Actinopterygii),Fish,Background biomonitoring,ACIS-2014-022,17,ng/g,wet,Calculated,Whole Body,,,,,,,anadromous/freshwater fish,NorthSlope Subsistence Study,NorthSlope Subsistence Study,North
